blockcollect,ID,condition,correctcollect,p,trialcollect
train,6,m1,0.25,0.009703408692861935,22
train,6,m1,0.6666666666666666,0.0114829788568175,23
train,6,m1,0.5833333333333334,0.010760927080041527,24
train,6,m1,0.5,0.012494522230715403,25
train,6,m1,0.5,0.014260725295912284,26
train,6,m1,1.0,0.016056410620812974,27
train,6,m1,0.6666666666666666,0.01507803953779676,28
train,6,m1,0.5833333333333334,0.016826802683464946,29
train,6,m1,0.9166666666666666,0.01860132752559292,30
train,6,m1,0.4166666666666667,0.02039906153712694,31
train,6,m1,0.5833333333333334,0.01919169772950712,32
train,6,m1,0.4166666666666667,0.020943040940079902,33
train,6,m1,1.0,0.022714888567223892,34
train,6,m1,0.4166666666666667,0.024505124477571243,35
train,6,m1,0.5833333333333334,0.023093287653603377,36
train,6,m1,1.0,0.024838556346639503,37
train,6,m1,0.5833333333333334,0.026600245245742168,38
train,6,m1,0.6666666666666666,0.028376575630616768,39
train,6,m1,0.8333333333333334,0.026782078748313187,40
test,6,m1,0.5833333333333334,0.028515381571149807,41
test,6,m1,0.9166666666666666,0.03026189833945241,42
test,6,m1,0.5,0.03202011488504473,43
test,6,m1,1.0,0.03026226973320297,44
test,6,m1,0.6666666666666666,0.03197967228148551,45
test,6,m1,0.16666666666666666,0.033707747777724444,46
test,6,m1,1.0,0.03544519214594992,47
test,6,m1,0.3333333333333333,0.03354105442179962,48
test,6,m2,0.16666666666666666,5.387950583557464e-08,49
test,6,m2,0.3333333333333333,1.0082575904557938e-07,50
test,6,m2,0.5,9.280605698094554e-08,51
test,6,m2,0.5,8.141931807988548e-07,52
test,6,m2,0.4166666666666667,7.271559957500855e-06,53
test,6,m2,0.5,1.175526942872681e-05,54
test,6,m2,0.5,1.3969596792888343e-05,55
test,6,m2,0.5,1.000564820066756e-05,56
test,6,ind,0.4166666666666667,1.1695131756172056e-07,57
test,6,ind,0.6666666666666666,1.3764111614885088e-07,58
test,6,ind,0.5,3.3861753583939187e-07,59
test,6,ind,0.5,5.942160721338391e-06,60
test,6,ind,0.4166666666666667,1.7483292470208607e-06,61
test,6,ind,0.4166666666666667,9.315102599825378e-08,62
test,6,ind,0.4166666666666667,3.009294765653398e-07,63
test,6,ind,0.4166666666666667,2.771048948562819e-07,64
train,7,m1,0.5833333333333334,0.00024411324500649462,1
train,7,m1,0.6666666666666666,5.55823838642921e-06,2
train,7,m1,0.25,2.2356206405500735e-06,3
train,7,m1,0.5833333333333334,8.404922656282925e-06,4
train,7,m1,0.25,9.624552554484533e-06,5
train,7,m1,0.4166666666666667,1.8548234537391992e-06,6
train,7,m1,0.5,1.9322629080821883e-06,7
train,7,m1,0.5833333333333334,3.114322878645404e-05,8
train,7,m1,0.5833333333333334,4.352649632820537e-05,9
train,7,m1,0.6666666666666666,4.330411304360377e-05,10
train,7,m1,0.25,2.4454025814231822e-05,11
train,7,m1,1.0,4.7742597412703066e-05,12
