ID,condition,recallcollect,instructioncollect,trialcollect,correctcollect,keyassignment
1,ind,K,J,17,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,K,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,18,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,F,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,18,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,19,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,J,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,S,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,F,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,19,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,20,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,D,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,20,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,K,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,S,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,F,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,20,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,21,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,D,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,21,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,K,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,21,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,21,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,21,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,21,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,22,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,22,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,22,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,22,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,L,22,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,22,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,K,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,23,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,23,1,"['F', 'S', 'D', 'L', 'K', 'J']"
